Business,AADM Verified,Address,Longitude,Latitude,Business Type,Photo
3 Ravens,Yes,"159 W Clayton St, Athens, GA 30601",-83.37739467,33.95794301,jewelry,
Adams Optics,No,"163 N Jackson St, Athens, GA 30601",-83.3745505,33.95842942,optician,
Agora Vintage,No,"279 E Broad St, Athens, GA 30601",-83.37470975,33.95810849,clothes,
American Threads,No,"269 N Hull St, Athens, GA 30601",-83.37885483,33.95804248,clothes,
Aurum Studios,No,"125 E Clayton St, Athens, GA 30601",-83.37674397,33.95855677,jewelry,
Barberitos (Downtown),Yes,"259 E Clayton St, Athens, GA 30601",-83.3749979,33.9588109, restaurant,
Bear Hug Honey,No,"193 E Clayton St, Athens, GA 30601",-83.3760052,33.95860425,,
Bel-Jean Copy & Print,Yes,"163 E Broad St, Athens, GA 30601",-83.37598978,33.95770823, shop,
Ben And Jerrys,No,"105 College Avenue, Athens, GA 30601",-83.37554332,33.95794559, ice cream,
Bike Athens,Yes,"1075 W Broad St, Athens, GA 30606",-83.39024391,33.95422119,,
Blue Rat Smoke Shop Athens,Yes,"2712, 260 1/2 W Clayton St, Athens, GA 30601",-83.37968727,33.95785312,tobacco ,
Blue Sky Bar,No,"247 E Broad St Suite B, Athens, GA 30601",-83.37493041,33.95802555,bar,
Bubble Tea,No,"151 E Broad St, Athens, GA 30601",-83.37607956,33.95769052, cafe,
Cellphone & Computer Repair,No,"480 E Broad St #103, Athens, GA 30601",-83.37300496,33.95801158,,
Chuck's Fish,Yes,"220 W Broad St, Athens, GA 30601",-83.378662,33.957176,,
Cillies Clothing,No,"175 E Clayton St, Athens, GA 30601",-83.37610577,33.95869052,,
Cine/Alex,Yes,"234 W Hancock Ave, Athens, GA 30601",-83.37968897,33.95997605,,
Cloud 9,Yes,"378 E Broad St, Athens, GA 30605",-83.3736797,33.95788854,tobacco,
Community Athens,Yes,"260 N Jackson St, Athens, GA 30601",-83.37464873,33.95929257,clothes ,
Cozy Bar,No,"179 N Jackson St, Athens, GA 30601",-83.3745787,33.9584662,bar,
Cravings,Yes,"480 E Broad St, Athens, GA 30601",-83.3728753,33.95805046,restaurant,
Creature Comforts Brewing Company,Yes,"271 W Hancock Ave, Athens, GA 30601",-83.380334,33.9590934, bar,
Cutters Pub,Yes,"120 E Clayton St, Athens, GA 30601",-83.3766864,33.9581319,bar,
Cvs Pharmacy,Yes,"170 W Broad St, Athens, GA 30601",-83.377566,33.9573981, pharmacy,
